"HOME";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"AWAY";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"WINNER"
"POR";103;0,488893573206965;0,373462868711138;0,792179711011649;11;35;23;6;13;5;19;"TOR";108;0,504243624383681;0,363843586843648;0,788703984163505;11;30;20;7;11;4;21;5
"CLE";101;0,502695212474616;0,347069907565839;0,764080506358822;10;30;22;7;13;4;18;"MIL";99;0,494917557135469;0,36871192069487;0,771930718685196;10;30;22;8;16;4;22;-16
"LAC";105;0,514099339103115;0,383681800797721;0,754654299988702;8;32;24;7;12;4;20;"NYK";94;0,479023075652186;0,367239625418973;0,784239760560672;10;28;21;7;13;3;22;21
"SAS";102;0,502150207750806;0,364567197583861;0,767260986922046;9;34;24;7;14;5;19;"NOP";101;0,494503878000471;0,331720092014367;0,760296079913802;11;31;21;7;11;5;19;2
"MIL";99;0,494388307717458;0,366445883811688;0,772756285782691;10;30;22;9;15;4;22;"IND";94;0,460476333993183;0,342357427278979;0,739406951796933;10;34;20;5;13;4;20;-3
"DEN";101;0,477319311189303;0,32152540893793;0,739862234277783;12;33;20;6;14;4;23;"MEM";101;0,490428392790444;0,357116874097523;0,782329093624389;10;31;22;8;12;4;19;29
"HOU";100;0,489591757442349;0,346107085448966;0,70604545285989;12;31;20;9;16;4;23;"MIA";94;0,508161809189036;0,355799495220682;0,725995218189218;8;27;19;8;13;3;20;36
"POR";104;0,488730036740094;0,374065119453145;0,793390111668169;11;35;23;6;13;5;19;"ATL";102;0,512626495556373;0,368174450194785;0,775126492486139;8;32;25;8;13;4;18;-8
"LAL";102;0,463002734519344;0,355125416185851;0,743394114474356;11;30;20;7;12;4;21;"IND";94;0,458840604634853;0,340739051805702;0,73891595952337;11;34;20;5;13;4;20;1
"GSW";108;0,531784002572924;0,379777139334389;0,773658164127603;10;35;26;9;15;6;20;"OKC";99;0,485845977632544;0,318784925865748;0,714187592638774;12;34;19;6;14;5;22;26
