"HOME";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"AWAY";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"WINNER"
"SAC";101;0,491954066806497;0,323004311785475;0,791409413712647;11;34;19;6;15;3;23;"IND";93;0,458076211992987;0,323862511778416;0,736526427792401;12;34;18;5;13;4;21;1
"TOR";108;0,491927089489862;0,371007258833571;0,799300629536429;10;30;20;7;11;4;22;"CLE";103;0,502759645894182;0,352837919380186;0,766372319949808;10;30;22;7;13;4;18;0
"UTA";96;0,505730069074402;0,334335064859361;0,735343454290155;11;29;20;6;14;4;18;"ORL";94;0,478216368022578;0,374356890138976;0,729953229032176;9;32;19;6;15;3;21;0
"WAS";100;0,494661100925124;0,370720548610125;0,736615032978501;10;32;25;8;14;4;22;"DEN";104;0,489477861905748;0,340833180889903;0,742337553200904;12;32;20;7;14;5;24;1
"DET";93;0,433820933340206;0,336002643871817;0,676496184922741;12;32;19;6;13;4;20;"PHI";91;0,461214391877231;0,287792566422384;0,669226436167303;11;29;20;10;17;4;22;0
"HOU";98;0,482356292179604;0,359317774691467;0,716042672525159;12;31;19;8;17;5;23;"PHX";105;0,497049594222016;0,359173094271789;0,818195270400946;10;32;20;8;14;4;23;1
"LAC";106;0,539102307661849;0,389580368737195;0,760447561286222;7;31;24;7;11;4;21;"NOP";100;0,484009548706654;0,327421291637258;0,727068256782883;12;30;21;7;11;5;21;1
"ATL";103;0,516614671052285;0,376777752591456;0,780459900747306;8;30;25;8;13;4;19;"DEN";103;0,489141899844944;0,332362950416837;0,743682214002398;12;32;20;7;14;4;24;1
"BOS";104;0,506037020378531;0,338889892190297;0,764289511095073;10;33;25;8;14;4;21;"WAS";99;0,486967613954583;0,372651435915246;0,73293354001472;10;32;25;7;14;5;22;1
"LAL";102;0,470487590207321;0,330878291459321;0,743263188202377;12;29;19;7;12;4;22;"NOP";100;0,486875442904279;0,3335804049429;0,723889225724135;12;31;22;7;11;5;20;0
"CLE";103;0,506939414251063;0,35286181974986;0,766683139902879;10;30;22;7;13;4;18;"TOR";108;0,50447403615668;0,363510012522075;0,805006841898321;10;29;20;7;11;4;22;1
"DET";92;0,435114513442498;0,329621519581638;0,68277250577392;12;32;19;6;13;4;19;"POR";103;0,492230548328926;0,366887502485947;0,788788563873149;11;35;23;6;13;5;19;0
"LAL";102;0,470228551215823;0,32492927821117;0,740387588738633;12;29;20;7;11;4;22;"SAC";101;0,489586191305335;0,329337057148062;0,784041798758228;11;33;19;5;15;3;23;1
"UTA";96;0,505808993746657;0,32494937141531;0,732264431306887;11;29;20;6;14;5;19;"SAS";100;0,49842217848298;0,359389344483906;0,791242662500624;9;34;24;7;13;5;19;1
"CHA";94;0,463394518320974;0,302526779382441;0,73802409855079;9;32;20;5;10;4;18;"BOS";104;0,504964568340678;0,336325013643204;0,763173059985566;10;33;25;8;14;3;21;1
"GSW";106;0,531624396800885;0,375384633761426;0,775328536576085;9;35;25;8;16;6;20;"HOU";98;0,483629369175381;0,354452302427248;0,713691434150945;12;31;19;8;16;5;23;1
"BOS";104;0,503594373476382;0,335461051954567;0,763868522737576;10;33;25;8;14;3;21;"NYK";94;0,484586193326785;0,384773771913912;0,78358308805058;10;28;21;6;14;3;23;0
"BKN";95;0,481640640925197;0,310819231143501;0,772689301726109;10;32;20;7;14;4;20;"PHI";90;0,454691764470173;0,290395839604765;0,669338082466143;11;29;20;10;17;5;22;1
"WAS";101;0,490060697001518;0,386229270411652;0,727419769364211;10;32;25;8;14;5;22;"LAC";106;0,536409438943816;0,37654619333266;0,770198009045474;7;31;24;7;12;4;21;1
"ATL";102;0,507410665971824;0,369194021598261;0,777667485946485;8;31;25;8;13;4;18;"CHI";102;0,493103919479511;0,355495348206899;0,757387184426693;10;34;22;5;14;5;19;1
"TOR";107;0,500790562558081;0,364940093070708;0,802547435011937;10;30;20;7;11;4;22;"ORL";93;0,481946458397742;0,375469743884777;0,734988345348969;9;32;19;6;14;3;20;1
"MEM";102;0,493378923746627;0,380272107923037;0,780832608219354;10;32;22;8;12;4;19;"GSW";107;0,528938840085025;0,372676384290352;0,783538130879736;10;35;25;8;15;6;20;1
"NOP";103;0,502059740288451;0,342435457264099;0,744204326490297;11;31;21;7;11;5;20;"UTA";96;0,504063180249261;0,32248205748973;0,739765221764688;11;29;20;6;14;5;18;1
