"HOME";"All points";"All points for last 5 games";"Two points";"Two points for last 5 games";"Thre points";"Thre points for last 5 games";"Free throws";"Free points for last 5 games";"Attack jumps";"Attack jumps for last 5 games";"Defending jumps";"Defending jumps for last 5 games";"Assissts";"Assissts for last 5 games";"Stolen balls";"Stolen balls for last 5 games";"Lost balls";"Lost balls for last 5 games";"Blockages fouls";"Blockages fouls for last 5 games";"Personal fouls";"Personal fouls for last 5 games";"AWAY";"All points";"All points for last 5 games";"Two points";"Two points for last 5 games";"Thre points";"Thre points for last 5 games";"Free throws";"Free points for last 5 games";"Attack jumps";"Attack jumps for last 5 games";"Defending jumps";"Defending jumps for last 5 games";"Assissts";"Assissts for last 5 games";"Stolen balls";"Stolen balls for last 5 games";"Lost balls";"Lost balls for last 5 games";"Blockages fouls";"Blockages fouls for last 5 games";"Personal fouls";"Personal fouls for last 5 games";"WINNER"
"OKC";92;93;0,479355429866652;0,451364251539239;0,320758799171843;0,372666666666667;0,641167101800478;0,578344852029062;10;10;32;32;19;18;5;4;15;13;4;4;21;19;"DET";93;96;0,446905039688865;0,458941000554092;0,344916335181165;0,400612010710187;0,658381764434396;0,663969696969697;12;12;34;34;18;18;5;6;12;14;4;4;21;21;-7
"ORL";96;101;0,481439038753179;0,483385635224716;0,412220779220779;0,486;0,701516812865497;0,719700292397661;9;7;33;33;20;22;6;6;16;15;4;3;23;21;"MIL";91;88;0,475868499289226;0,492237511650799;0,29449613089964;0,206608187134503;0,772129681912291;0,762452475061171;11;12;31;31;21;21;9;8;16;15;5;4;23;23;16
"DET";93;94;0,438701525979201;0,433941000554092;0,358835975870836;0,421375667343409;0,660333743093383;0,679283422459893;11;9;33;35;18;17;5;5;12;13;4;5;21;20;"ORL";97;99;0,486207962751064;0,482838767086343;0,419497708174179;0,461686274509804;0,706819566276803;0,730138888888889;9;7;33;33;21;23;6;6;15;13;3;2;23;20;-14
"MEM";98;104;0,466310002386012;0,475893890656225;0,376905559962132;0,384604023427553;0,801707629247736;0,848169477581242;10;12;29;27;20;21;9;9;12;10;3;3;20;19;"HOU";97;90;0,484094948615451;0,478562675939725;0,357202571502774;0,268711484593838;0,708088070671803;0,702168935853146;12;14;31;29;19;17;9;9;17;18;5;5;23;22;26
"POR";104;109;0,492404810624869;0,477017477967808;0,383381722095977;0,42249509856301;0,790556921753847;0,796739923688949;12;13;34;33;23;25;5;6;13;13;5;5;21;20;"NOP";104;110;0,497521021143333;0,533464105339105;0,3675296629373;0,451921470342523;0,732097366350825;0,739966583124478;12;8;31;29;23;25;8;9;11;10;7;6;22;23;9
"ATL";102;101;0,506898084300757;0,535498835030577;0,374686387686388;0,336584896584897;0,770262623139861;0,828271486967139;9;9;29;29;24;24;8;7;14;14;5;4;19;15;"LAL";102;102;0,475925700131777;0,47993380113862;0,302724614957235;0,271724598930481;0,750571519222543;0,736538922498004;13;14;27;28;20;19;7;7;12;10;3;4;23;20;-5
"UTA";97;95;0,516008155822305;0,509716013998326;0,328987285191995;0,337363542254847;0,757191603689282;0,697509157509158;10;9;30;30;21;23;6;7;13;12;4;5;18;18;"OKC";88;84;0,458429067656804;0,40029056158967;0,309442401293088;0,311144164759725;0,656799652502905;0,647413989519253;10;10;32;32;18;18;5;6;15;13;5;7;22;22;17
"BKN";101;98;0,506257563750093;0,493746683015707;0,337840238856146;0,270065987198009;0,796175025877154;0,792389803401467;9;9;32;31;19;19;7;7;14;14;4;3;22;23;"MIL";96;100;0,490651049200201;0,523383720105032;0,305499004492813;0,264157206742346;0,760780547284171;0,726516076516077;11;11;31;33;21;21;9;8;15;15;4;3;24;24;-4
"CLE";105;110;0,477119393672849;0,502905833368381;0,381536826312906;0,435185453868048;0,796949039992518;0,775543101630058;10;10;30;32;21;25;6;6;12;12;4;5;17;16;"SAS";94;97;0,482194726945472;0,481006409163236;0,310974840246276;0,364712931995541;0,791150649043216;0,801873015873016;9;7;33;34;23;26;7;8;14;12;4;4;20;20;-2
"HOU";97;87;0,473721366777177;0,455959595959596;0,357696314242886;0,272400053843047;0,722897263812596;0,714634883330535;12;13;31;31;19;17;8;8;17;18;5;5;23;23;"DAL";109;115;0,553455343650018;0,578609883223551;0,354134438809289;0,355824175824176;0,7895013248551;0,763442872719484;10;11;30;32;24;27;7;5;10;9;5;5;20;19;3
"ORL";96;97;0,486685496952236;0,49717841335035;0,386987055428232;0,336519607843137;0,712137751786875;0,73337962962963;9;10;33;32;20;19;6;6;15;12;3;2;22;18;"MIA";97;94;0,507619028958539;0,499468348928772;0,382659185853166;0,3883663003663;0,742456082090593;0,798597588791137;7;6;28;28;21;18;8;8;13;14;3;3;20;19;-7
"CLE";102;92;0,481142137144795;0,485038461538462;0,353853114257791;0,303687739463602;0,782232845789529;0,743586248833625;10;10;30;32;21;21;7;8;13;16;4;6;18;21;"ORL";95;93;0,480077177202245;0,475008233803121;0,381182717405144;0,312990196078431;0,713462475633528;0,746712962962963;9;10;33;32;20;19;6;6;15;12;3;2;21;18;32
"DEN";103;109;0,486808459957516;0,522975095261594;0,346532248752086;0,39210559280081;0,733911496288406;0,74374623427255;12;11;32;33;21;23;6;7;13;12;5;5;24;23;"CHI";100;97;0,492810635768788;0,470572602867685;0,364842714996613;0,358948595264385;0,739239790027514;0,721317693469867;9;10;32;31;22;21;6;8;13;12;5;3;20;20;5
"NOP";102;98;0,494336118630473;0,489736070381232;0,339002436332158;0,272484520123839;0,751594838122783;0,762687109161434;11;11;30;28;21;18;7;7;10;9;6;5;22;23;"SAC";103;101;0,487151417459203;0,508617604617605;0,330976630929638;0,339027639027639;0,805820521803482;0,808301404853129;11;10;34;33;19;21;6;5;14;12;3;3;23;19;-10
"PHI";89;92;0,460832722284037;0,481730006712134;0,283863232943369;0,23798773690078;0,666982918473967;0,715441813088872;10;9;28;28;20;20;9;10;17;16;4;3;22;21;"BKN";99;96;0,502423306168386;0,492879098360656;0,336874473386972;0,33632538569425;0,814851806046336;0,79790450928382;9;9;32;31;20;22;6;6;14;17;4;5;21;18;-8
"PHX";105;107;0,503813414017373;0,518650086297145;0,355973632720018;0,403472140762463;0,825735780880983;0,823814156857635;10;10;32;33;20;22;7;9;14;15;4;3;23;22;"DEN";104;110;0,486149434421886;0,510952303238801;0,344763432168614;0,3786862379621;0,735964455359375;0,736687410743138;12;13;31;32;20;22;6;7;13;13;5;5;24;23;8
"CHA";94;96;0,465218869539786;0,492751258177542;0,327401752520128;0,286491228070175;0,718177988805678;0,728550724637681;9;7;32;32;21;23;5;5;10;8;4;5;18;19;"GSW";107;104;0,539933859942664;0,52713921773008;0,381904354356501;0,347184902054467;0,778478936578445;0,720566361556064;8;9;35;36;25;26;8;7;16;12;6;7;21;21;-5
"POR";104;103;0,487614922396608;0,477077168294434;0,383596124069082;0,384067808409914;0,792455237680298;0,796631532718489;12;11;35;37;23;23;5;6;13;12;5;5;19;17;"MEM";100;105;0,484408734374431;0,524225944748953;0,373006605107998;0,364428904428904;0,791822585647713;0,770075489727664;10;10;32;37;21;24;8;5;12;13;3;4;19;17;-13
"ATL";103;105;0,5194071733945;0,544425351581985;0,364514710290499;0,344171355498721;0,782679195626766;0,807512340600576;9;9;30;32;24;25;8;7;13;12;5;5;19;19;"CHA";93;91;0,459886197300396;0,468005862727921;0,321290060955;0,259969488939741;0,719945878316474;0,758550724637681;9;8;32;30;21;23;5;5;11;9;4;4;18;17;30
"WAS";97;94;0,483005839579271;0,468010057471264;0,365390974121624;0,419145299145299;0,724207695194734;0,689272030651341;10;13;31;30;24;24;8;6;14;16;4;5;23;23;"NOP";100;92;0,48316822589;0,444875930521092;0,33677596769702;0,273774509803922;0,74582663748419;0,76137131968775;12;13;30;27;21;17;7;7;10;11;6;4;21;20;3
"BOS";103;96;0,522505772125383;0,470609917523674;0,305311240025937;0,291357048748353;0,764117224295804;0,715057471264368;11;10;31;32;25;22;7;8;13;12;3;3;21;19;"SAS";99;109;0,502050155284878;0,545732097631572;0,354820843694956;0,451282051282051;0,797806266271199;0,812448624172762;9;8;34;36;23;26;7;7;14;13;5;7;18;16;-22
"NYK";93;87;0,478586032383631;0,479665060468632;0,386244849304985;0,27118632141852;0,763269960651282;0,729285714285714;11;11;28;31;20;18;6;6;14;16;3;3;24;23;"MIA";96;93;0,496939423779705;0,498580962645672;0,386997545027436;0,381939799331104;0,7460841820542;0,77572156196944;8;7;28;28;20;16;8;7;13;13;3;3;20;18;-7
"ATL";103;107;0,521426983678033;0,536913036311049;0,370378374230676;0,394171355498721;0,787333174471522;0,840479373567609;8;8;30;30;25;28;8;8;13;13;5;6;19;18;"BOS";103;96;0,519366043054729;0,454580773625677;0,319739766053193;0,33570487483531;0,769586332419674;0,760478716685613;11;10;31;31;25;22;8;8;14;13;3;3;21;20;4
"GSW";106;106;0,536895356781421;0,537667194927016;0,379613708247956;0,383984533984534;0,778396447307779;0,744835367404017;9;10;36;37;25;25;7;6;16;13;6;7;21;20;"ORL";94;88;0,477688317046067;0,450696777327558;0,373704343858756;0,333856209150327;0,734448551935394;0,801380952380952;9;9;33;32;19;16;6;7;15;16;3;3;21;18;1
"BKN";98;92;0,48842896962003;0,446891856457896;0,33445442101598;0,327229839304143;0,795564232430315;0,773333333333333;10;10;32;33;20;21;6;6;14;13;4;3;20;17;"SAS";99;106;0,491906265668938;0,491479148917959;0,35546040807073;0,39551282051282;0,795272236685511;0,781034482758621;9;10;35;36;23;24;7;7;13;11;5;5;19;17;2
