"HOME";"All points";"All points for last 5 games";"Two points";"Two points for last 5 games";"Thre points";"Thre points for last 5 games";"Free throws";"Free points for last 5 games";"Attack jumps";"Attack jumps for last 5 games";"Defending jumps";"Defending jumps for last 5 games";"Assissts";"Assissts for last 5 games";"Stolen balls";"Stolen balls for last 5 games";"Lost balls";"Lost balls for last 5 games";"Blockages fouls";"Blockages fouls for last 5 games";"Personal fouls";"Personal fouls for last 5 games";"AWAY";"All points";"All points for last 5 games";"Two points";"Two points for last 5 games";"Thre points";"Thre points for last 5 games";"Free throws";"Free points for last 5 games";"Attack jumps";"Attack jumps for last 5 games";"Defending jumps";"Defending jumps for last 5 games";"Assissts";"Assissts for last 5 games";"Stolen balls";"Stolen balls for last 5 games";"Lost balls";"Lost balls for last 5 games";"Blockages fouls";"Blockages fouls for last 5 games";"Personal fouls";"Personal fouls for last 5 games";"WINNER"
"POR";104;103;0,488898395329993;0,483725865509169;0,382422020514216;0,344295081137186;0,785840223699104;0,768995169082126;12;13;35;37;24;24;6;6;13;12;5;6;19;17;"MIN";100;98;0,462554195566295;0,460340005167853;0,359737843855491;0,330539395245278;0,740522944589607;0,703024361259655;12;11;28;25;21;23;8;10;14;14;3;4;21;21;1
"UTA";95;93;0,505215875033495;0,491126806916281;0,327832611748497;0,320039682539683;0,738212303708638;0,713988655023138;10;11;30;30;20;17;6;6;14;15;4;4;18;18;"DEN";105;110;0,488786411393856;0,490825423956236;0,346973982919731;0,363475299475299;0,743190474836511;0,741096204563697;12;14;32;34;21;20;7;7;13;15;5;4;24;24;0
"WAS";98;98;0,487016087813114;0,477444019735415;0,375448775081128;0,444408457040036;0,72842388091173;0,736494252873563;10;12;31;30;24;25;8;6;14;15;4;5;23;23;"MIA";95;92;0,504178281204428;0,505507791913965;0,369580577138122;0,353967771359076;0,737490994874541;0,721528013582343;7;7;28;28;20;16;8;6;13;13;3;3;20;19;1
"DET";92;92;0,436236222229859;0,434339300937766;0,342382611995703;0,349043018173453;0,670491108589581;0,632524984187223;12;13;31;28;19;22;6;8;13;15;4;4;19;18;"LAL";104;108;0,480420391359163;0,484002690199322;0,327582951247812;0,386381394663128;0,744194131710905;0,738814616755793;12;11;29;34;20;21;7;8;12;12;4;5;23;23;0
"NOP";101;95;0,482899789236664;0,45677961066648;0,334109822657133;0,270098039215686;0,739490250419205;0,713789620341345;12;15;30;28;21;18;8;8;10;11;6;5;21;19;"OKC";91;96;0,462700705367674;0,472635634090154;0,316357433739989;0,309268476621418;0,673045404971143;0,702644291889143;11;13;33;35;18;17;6;7;14;14;5;6;23;27;1
"SAC";101;97;0,493409658036994;0,513838101634712;0,329837884662446;0,33211038961039;0,796487714474461;0,777724977724978;11;9;33;31;19;19;6;5;15;16;4;4;23;21;"TOR";108;114;0,49078291119934;0,497429987059135;0,361965737328306;0,368356730725546;0,80338958837381;0,811536447423544;10;12;30;31;20;21;8;7;11;12;4;4;23;24;0
"BOS";103;98;0,510715189173332;0,435689282603039;0,326839364008202;0,35570487483531;0,77241311256937;0,780584536791433;10;10;32;33;25;23;8;8;14;13;4;3;21;21;"DET";92;95;0,433627298252849;0,4116726342711;0,339957016432576;0,338302277432712;0,671499743527697;0,688103077493511;12;14;32;30;19;21;6;8;13;13;4;5;20;19;1
"CHA";93;92;0,459541309723182;0,455224253532519;0,311397601606491;0,219969488939741;0,730108909892494;0,791159420289855;9;8;32;32;21;22;5;4;10;8;4;4;18;17;"CHI";102;110;0,495672549377795;0,496927059017784;0,357615198680969;0,331076276664512;0,749976195644523;0,805163146339617;10;11;33;37;22;24;6;5;14;14;5;5;20;21;0
"LAC";105;111;0,53765146968171;0,575043712069614;0,381709833667039;0,401940363242071;0,763342796172494;0,801352472089314;7;8;31;34;24;26;7;7;12;13;4;5;21;21;"ORL";94;91;0,475925919382049;0,462641894357421;0,372575565579767;0,345032679738562;0,724236716128947;0,758714285714286;9;7;32;32;19;18;6;9;15;16;3;2;21;19;1
"POR";103;100;0,493303402952303;0,487117175090296;0,364153856131084;0,302308802308802;0,787653784752718;0,75167206592782;11;9;35;37;23;23;6;6;13;11;5;6;19;17;"IND";93;95;0,459629095330963;0,457072259960217;0,32876215814732;0,325968475968476;0,733548689872219;0,714327012856425;12;11;34;34;19;22;4;6;14;13;4;2;20;21;1
