"HOME";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"AWAY";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"WINNER"
"ORL";95;0,483939175152398;0,365367965367965;0,701023391812865;11;35;19;5;17;5;25;"MIN";100;0,460531654942614;0,373464052287582;0,751376149796907;12;31;22;8;13;4;22;9
"PHI";94;0,481457107662508;0,337908902691511;0,645119421641161;10;28;22;9;16;6;22;"CHI";104;0,517882298871119;0,396915419978183;0,774809368191721;9;33;22;5;15;7;21;-3
"PHX";103;0,505530334585898;0,312297320361836;0,794555253587512;9;33;19;6;12;5;25;"SAC";105;0,473100878579266;0,279398148148148;0,820661820449054;12;36;17;7;16;4;26;-2
"TOR";104;0,482557013568247;0,309026323139226;0,771163327088993;10;27;16;6;9;3;23;"WAS";97;0,48334434847961;0,36267453450116;0,73428487591102;8;31;23;9;13;3;23;19
"UTA";99;0,528305598224953;0,310171618504952;0,814077957073313;12;29;21;5;15;4;19;"DAL";106;0,536757004451427;0,359049344375431;0,810134030728996;10;28;21;7;10;5;19;-23
"ATL";104;0,481492356618843;0,368257575757576;0,757964257964258;8;30;24;10;13;4;23;"NYK";92;0,44770233272454;0,423115562014279;0,775741684233502;12;28;23;5;13;3;24;7
"CHI";104;0,509536178955168;0,40370528061622;0,749836601307189;9;32;22;5;14;6;20;"BOS";106;0,541986105140988;0,307474140649013;0,800825281803543;13;31;25;7;15;4;22;-5
"HOU";101;0,483825215659542;0,40339515737951;0,726806843949701;11;32;20;9;18;4;22;"GSW";107;0,541921489755005;0,387540227380044;0,806495098039216;9;35;24;10;21;6;23;-11
"IND";92;0,469216329577783;0,316962843616979;0,768446196660482;12;33;18;4;17;6;21;"WAS";97;0,489805359921298;0,336837912689306;0,734977098606961;9;32;23;9;13;3;23;-7
"LAC";103;0,501246139670349;0,351193767601459;0,792215148685737;8;26;22;8;10;4;21;"POR";100;0,505227587839087;0,350787241706782;0,785404420141262;11;35;22;5;13;5;21;4
"MIA";101;0,510399575952752;0,365238927738928;0,769082779796263;9;29;22;8;13;2;21;"MIN";99;0,456546332170488;0,352886710239651;0,756581574106118;13;31;20;8;14;4;21;10
"MIL";93;0,467270569982465;0,33502886002886;0,785255169261381;12;30;22;9;16;6;23;"MEM";93;0,44747050202021;0,348175250961629;0,784243034243034;10;30;19;9;13;2;20;1
"SAS";92;0,482946990116801;0,29837908496732;0,783102856466504;10;33;20;6;16;4;20;"NOP";97;0,462073732718894;0,285822399135093;0,749237247735579;14;32;21;7;11;7;21;-1
"BKN";104;0,516683297695415;0,394318781904594;0,799329377940227;9;33;20;7;14;4;22;"ORL";95;0,488614531083008;0,389363017934447;0,69016290726817;10;34;20;5;17;4;25;8
